valid_species_name,TMPavg_avg,PREavg_avg,DTRavg_avg,poly_id,colony_size
Neoponera.verenae,24.2668125,195.4664236,9.633875,0,120
Neoponera.villosa,23.70025854,157.6432098,10.45097073,0,32.77
Nomamyrmex.esenbeckii,23.79444304,151.5249114,10.02496203,1,1.00E+06
Nothomyrmecia.macrops,16.92725,26.804,12.913,0,39.26
Nylanderia.arenivaga,17.42954545,98.5242,12.87443636,0,100
Nylanderia.concinna,20.2845,112.194,12.4285,0,100
Nylanderia.faisonensis,16.06330769,107.2170962,12.42024038,0,122.56
Nylanderia.flavipes,12.07242466,97.68868493,10.48250685,0,350
Nylanderia.parvula,12.78485526,89.98413158,11.86567105,0,100
Nylanderia.phantasma,20.0424,116.2054,12.4676,0,100
Nylanderia.steinheili,23.31415,179.64715,9.193025,0,143
Nylanderia.terricola,16.80514545,59.48178182,14.09441818,0,137.5
Nylanderia.wojciki,21.967,115.2705,11.55216667,0,100
Ochetellus.glaber,16.75958929,81.66535714,11.88192857,0,416
Ocymyrmex.barbiger,17.50975,29.45125,14.263875,0,200
Ocymyrmex.foreli,16.8382,57.1718,14.7476,0,713
Odontomachus.bauri,24.44984416,166.1067792,9.944883117,0,300
Odontomachus.brunneus,23.23761957,134.9744891,11.01229348,0,120.17
Odontomachus.cephalotes,24.76339394,157.2993636,9.791484848,0,1000
Odontomachus.chelifer,22.29700787,152.4246614,10.20222835,0,130
Odontomachus.haematodus,24.573,150.6390769,10.11402308,0,500
Odontomachus.hastatus,25.24416667,231.0163571,8.926785714,0,285.2
Odontomachus.laticeps,23.65553333,172.7347467,10.10129333,0,15
Odontomachus.relictus,22.32116667,111.5056667,11.80133333,0,200
Odontomachus.rixosus,25.18585,209.24125,9.21905,0,142
Odontomachus.ruginodis,23.23466071,175.4082321,9.716982143,0,200
Odontomachus.troglodytes,23.58771429,131.0565714,10.26661224,0,245
Oecophylla.longinoda,25.25687973,124.2353849,10.11107904,1,490000
Oecophylla.smaragdina,25.40511842,166.4946513,9.933532895,1,5.00E+05
Onychomyrmex.hedleyi,22.96257143,123.0977143,9.933714286,0,846.41
Orectognathus.versicolor,17.67813043,96.05495652,11.84513043,1,104
Oxyopomyrmex.emeryi,17.81494118,27.01782353,11.36835294,0,650
Pachycondyla.harpax,22.98928528,152.0021411,10.57315337,0,57.5
Pachycondyla.striata,21.05348739,129.0671513,10.75368067,0,47.4
Paltothyreus.tarsatus,24.52447059,110.0469608,10.54496078,0,600
Paraparatrechina.pallida,24.45775,257.7145,10.2265,0,500
Paraponera.clavata,24.68262617,213.507028,9.774242991,1,1019
Pheidole.adrianoi,20.54885714,114.2025714,11.44628571,1,350
Pheidole.cramptoni,24.97592857,225.2774286,9.169357143,1,172
Pheidole.dentata,17.78472764,86.20311789,13.10820325,1,942.86
Pheidole.dentigula,18.26236667,110.5505333,12.69153333,1,300
Pheidole.desertorum,15.37705172,32.98994828,16.22458621,1,9881
Pheidole.embolopyx,26.9553,189.0075,8.8057,1,300
Pheidole.fallax,23.36173214,136.055625,10.15907143,1,10000
Pheidole.fervida,11.37362,108.0044,10.31812,1,4636
Pheidole.floridana,20.95726923,108.411,11.59984615,1,1000
Pheidole.metallescens,18.96734615,80.98605769,13.16063462,1,1000
Pheidole.moerens,23.97466667,135.0825,10.4425,1,600
Pheidole.morrisii,17.99465116,105.2941163,12.34290698,1,2500
Pheidole.obtusospinosa,17.19,41.4262,16.82368,1,1783
Pheidole.pallidula,14.29214019,52.5094704,10.54438318,1,5533.33
Pheidole.rhea,17.50143478,34.63504348,17.069,1,33574
Pheidole.spadonia,19.3786,25.5238,16.1762,1,1221
Pheidole.tepicana,19.90431579,50.09226316,14.08928947,1,22337
Pheidole.zeteki,25.7,222.5186,8.9832,1,81
Plagiolepis.pygmaea,13.45132683,57.47159024,10.00309268,0,1700
Platythyrea.conradti,26.1945,130.2925,9.295071429,0,400
Platythyrea.parallela,22.35228125,166.4809531,10.61053125,0,50
Plectroctena.mandibularis,18.41263158,68.15973684,13.11105263,0,155.5
Pogonomyrmex.badius,19.51234483,114.3154138,12.10598276,1,4146.28
Pogonomyrmex.californicus,16.71074312,20.12012844,15.96956881,0,4533
Pogonomyrmex.carbonarius,9.716333333,58.14583333,13.654,0,450
Pogonomyrmex.coarctatus,17.12277778,75.59959259,12.39233333,1,2000
Pogonomyrmex.desertorum,17.5356,32.14576923,16.59790769,0,500
Pogonomyrmex.imberbiculus,16.43228261,33.77841304,16.33781522,0,22.86
Pogonomyrmex.inermis,15.70725,31.392375,14.3340625,0,432.67
Pogonomyrmex.laticeps,16.51430769,32.42776923,14.10015385,0,45
Pogonomyrmex.lobatus,18.026625,72.00425,12.500625,1,2000
Pogonomyrmex.longibarbis,6.101666667,24.01366667,14.48233333,0,250
Pogonomyrmex.magnacanthus,19.809,14.39533333,16.10886667,0,162.5
Pogonomyrmex.maricopa,16.54032203,30.28918644,16.44208475,0,400
Pogonomyrmex.mayri,25.93366667,119.3043333,9.571333333,0,603
Pogonomyrmex.mendozanus,16.87516667,23.9925,14.71633333,0,615
Pogonomyrmex.montanus,14.49225,33.093,15.01575,0,1665
Pogonomyrmex.occidentalis,10.12990086,33.7209569,16.43379741,0,2937
Pogonomyrmex.pima,19.05131579,27.11768421,16.38152632,0,250.5
Pogonomyrmex.rastratus,13.28424,27.95108,14.14052,0,997
Pogonomyrmex.salinus,9.335414634,26.52953659,15.31997561,0,2913.32
Pogonomyrmex.subnitidus,13.85673333,31.16913333,14.14953333,0,5934
Polyrhachis.australis,23.1804,105.9904,10.1706,0,92.54
Polyrhachis.debilis,24.18471429,199.1021429,9.162142857,0,325
Polyrhachis.dives,24.78973333,194.9871333,9.341233333,0,1.00E+06
Polyrhachis.illaudata,21.56373684,172.6402105,10.495,0,411.5
Polyrhachis.limbata,24.2314,264.7728,9.238,0,100
Polyrhachis.spinifera,25.946,182.961,8.9135,0,150
Ponera.exotica,17.99085714,101.2955,13.035,0,50
Ponera.pennsylvanica,11.02035878,88.24705344,11.70987023,0,17.5
Prenolepis.imparis,12.64215563,83.95320199,12.4801755,0,3287.02
Prionopelta.amabilis,23.91544828,213.8282069,9.544275862,0,377
Prionopelta.opaca,24.16976471,249.6817059,9.881529412,0,20
Pristomyrmex.punctatus,13.37103704,115.7824259,10.06435185,0,22000
Proatta.butteli,26.01457143,246.502,8.133571429,0,7750
Probolomyrmex.boliviensis,24.0200625,211.81625,8.903,0,29
Probolomyrmex.dammermani,24.4492,200.6124,9.4762,0,13.8
Proceratium.itoi,12.12230769,110.5061538,10.16546154,0,35
Proceratium.pergandei,15.17487097,102.3164194,12.08212903,0,26.5
Proceratium.silaceum,14.44797826,102.212913,11.89502174,0,28
Procryptocerus.scabriusculus,22.61247541,156.8072787,10.7705082,0,62
Proformica.korbi,9.184,59.253,10.567,1,133
Proformica.longiseta,13.41225,42.5715,10.9165,1,476.95
Pseudomyrmex.concolor,27.01271429,185.7754286,9.064571429,0,316
Pseudomyrmex.ejectus,21.798325,151.83,11.1186,0,80
Pseudomyrmex.elongatus,24.35324658,181.9840411,9.767780822,0,80
Pseudomyrmex.ferrugineus,24.28738095,139.7109048,11.43240476,0,300
Pseudomyrmex.gracilis,23.45159135,150.4156635,10.24389423,0,80
Pseudomyrmex.nigropilosus,26.845,133.4893333,9.214,0,228
Pseudomyrmex.pallidus,19.9509589,102.6203425,12.55486301,0,30
Pseudomyrmex.peperi,24.68275309,136.9812716,11.16012346,0,1958
Pseudomyrmex.spinicola,25.30484211,167.5568158,8.388842105,0,10021
Pseudomyrmex.termitarius,23.85129348,139.2097391,10.38452174,0,137.5
Pseudomyrmex.triplarinus,25.7425,166.9575,10.623,0,10000
Pseudoponera.stigma,24.39846243,191.4797861,9.62834104,0,9
Rhytidoponera.araneoides,24.96496296,224.7873704,8.454185185,0,50
Rhytidoponera.laciniosa,24.427,265.4035,10.27566667,0,133.33
Rhytidoponera.mayri,18.26156716,27.90483582,13.83131343,0,531.77
Rhytidoponera.purpurea,22.53805882,154.8703529,10.45205882,0,1000
Sericomyrmex.amabilis,24.10732558,201.8472093,9.210325581,1,432.8
Sericomyrmex.mayri,25.61206757,173.4251216,10.24608108,1,945.5
Simopelta.pentadentata,24.048,215.1083333,9.346666667,0,1000
Simopelta.pergandei,21.97627273,195.1788182,9.670181818,0,1000
Solenopsis.globularia,24.13935897,135.5166667,10.28776923,1,50
